date,time,opponent,managerName
2025-12-03,7:00 CST,Rockets vs. Sacramento Kings,Jennifer H. and Derrick M.
2025-12-05,7:00 CST,Rockets vs. Phoenix Suns,Jennifer H. and Derrick M.
2025-12-11,7:00 CST,Rockets vs. LA Clippers,Jennifer H. and Derrick M.
2025-12-27,7:00 CST,Rockets vs. Cleveland Cavaliers,Jennifer H. and Derrick M.
2025-12-29,7:00 CST,Rockets vs. Indiana Pacers,Jennifer H. and Derrick M.
2026-01-05,7:00 CST,Rockets vs. Phoenix Suns,Jennifer H. and Derrick M.
2026-01-13,7:00 CST,Rockets vs. Chicago Bulls,Jennifer H. and Derrick M.
2026-01-15,6:30 CST,Rockets vs. Oklahoma Thunder,Jennifer H. and Derrick M.
2026-01-16,8:30 CST,Rockets vs. Minnesota Timberwolves,Jennifer H. and Derrick M.
2026-01-18,6:00 CST,Rockets vs. New Orleans Pelicans,Jennifer H. and Derrick M.
2026-01-20,7:00 CST,Rockets vs. San Antonio Spurs,Jennifer H. and Derrick M.
2026-01-26,7:00 CST,Rockets vs. Memphis Grizzlies,Jennifer H. and Derrick M.
2026-01-28,8:30 CST,Rockets vs. San Antonio Spurs,Jennifer H. and Derrick M.
2026-01-31,7:30 CST,Rockets vs. Dallas Mavericks,Jennifer H. and Derrick M.
2026-02-04,7:00 CST,Rockets vs. Boston Celtics,Jennifer H. and Derrick M.
2026-02-05,7:00 CST,Rockets vs. Charlotte Hornets,Jennifer H. and Derrick M.
2026-02-11,7:00 CST,Rockets vs. LA Clippers,Jennifer H. and Derrick M.
2026-02-23,8:30 CST,Rockets vs. Utah Jazz,Jennifer H. and Derrick M.
2026-02-25,7:00 CST,Rockets vs. Sacramento Kings,Jennifer H. and Derrick M.
2026-03-05,6:30 CST,Rockets vs. Golden State Warriors,Jennifer H. and Derrick M.
2026-03-06,7:00 CST,Rockets vs. Portland Trail Blazers,Jennifer H. and Derrick M.
2026-03-10,7:00 CDT,Rockets vs. Toronto Raptors,Jennifer H. and Derrick M.
2026-03-13,7:00 CDT,Rockets vs. New Orleans Pelicans,Jennifer H. and Derrick M.
2026-03-13,8:00 CDT,Rockets vs. Los Angeles Lakers,Jennifer H. and Derrick M.
2026-03-18,8:30 CDT,Rockets vs. Los Angeles Lakers,Jennifer H. and Derrick M.
2026-03-20,7:00 CDT,Rockets vs. Atlanta Hawks,Jennifer H. and Derrick M.
2026-03-21,7:00 CDT,Rockets vs. Miami Heat,Jennifer H. and Derrick M.
2026-03-31,7:00 CDT,Rockets vs. New York Knicks,Jennifer H. and Derrick M.
2026-04-01,7:00 CDT,Rockets vs. Milwaukee Bucks,Jennifer H. and Derrick M.
2026-04-03,7:00 CDT,Rockets vs. Utah Jazz,Jennifer H. and Derrick M.
2026-04-09,7:00 CDT,Rockets vs. Philadelphia 76ers,Jennifer H. and Derrick M.
2026-04-10,7:00 CDT,Rockets vs. Minnesota Timberwolves,Jennifer H. and Derrick M.
2026-04-12,7:30 CDT,Rockets vs. Memphis Grizzlies,Jennifer H. and Derrick M.
